ID,Date,Person,Start time,Total time,Total display,Display,Dewlap,Pushups,Headbobs,Tail raise
C100,24-07-04,sw,0.420138889,20,12.2,0.010166667,0,8,0,0
C100,26-07-04,sw,0.079861111,20,3.1,0.002583333,5,0,2,0
C100,28-07-04,sw,0.059027778,20,0.803472222,0.00066956,6,8,4,1
C100,31-07-04,sw,0.459722222,20,3.02,0.002516667,0,5,0,0
C100,31-07-04,rk,0.141666667,20,8.3,0.006916667,0,3,0,0
C101,23-07-04,rk,0.385416667,20,0,0,0,0,0,0
C101,24-07-04,rk,0.423611111,20,6,0.005,1,0,0,0
C101,26-07-04,rk,0.436111111,20,0,0,0,0,0,0
C101,28-07-04,rk,0.486805556,20,40.5,0.03375,8,5,0,0
C101,28-07-04,maj,0.163194444,20,0,0,0,0,0,0
C102,23-07-04,sw,0.469444444,20,6.2,0.005166667,0,2,5,0
C102,24-07-04,sw,0.361111111,20,0,0,0,0,0,1
C102,24-07-04,sw,0.100694444,20,13.73,0.011441667,4,7,0,0
C102,26-07-04,rk,0.136111111,20,183.5,0.152916667,20,62,0,0
C102,28-07-04,rk,0.428472222,20,216,0.18,43,22,0,0
C103,31-07-04,rk,0.120138889,20,5,0.004166667,0,2,0,0
C103,01-08-04,maj,0.509027778,20,5.5,0.004583333,2,0,0,0
C103,02-08-04,maj,0.216666667,20,1.5,0.00125,0,1,0,0
C103,03-08-04,maj,0.39375,20,0,0,0,0,0,0
C104,24-07-04,rk,0.454861111,20,0,0,0,0,0,0
C104,26-07-04,rk,0.082638889,20,0,0,0,0,0,0
C104,28-07-04,maj,0.494444444,20,0,0,0,0,0,0
C104,31-07-04,rk,0.455555556,20,15.3,0.01275,0,0,0,4
C104,01-08-04,sw,0.413194444,20,47.76,0.0398,0,5,0,3
C105,26-07-04,rk,0.122222222,20,0,0,0,0,0,0
C105,28-07-04,sw,0.104861111,20,6.5,0.005416667,0,0,0,2
C105,01-08-04,sw,0.08125,20,0,0,0,0,0,0
C105,03-08-04,sw,0.444444444,20,0,0,0,0,0,0
