SerialNumber,ID,Date,Observer,PH,PD,Xcoord,Ycoord,Day,
1,C100,22-Jul,sw,1.4,3,6.707542,8.762562,1,
2,C100,24-Jul,sw,1.3,1.6,8.739141,13.480787,3,
3,C100,26-Jul,sw,,,9.641203,13.491402,5,
4,C100,26-Jul,sw,2.4,3.2,9.645561,13.541212,5,
5,C100,28-Jul,sw,1.65,2,7.419299,14.61164,7,
6,C100,31-Jul,sw,0.87,3.4,10.003453,15.552196,10,
7,C100,31-Jul,rk,1.2,6,7.551639,12.869517,10,
8,C100,01-Aug,maj,,,5.608928,16.835559,11,
9,C100,02-Aug,maj,,,3.569821,17.65022,12,
10,C101,22-Jul,sw,0.65,5.2,6.977239,1.702376,1,
11,C101,23-Jul,rk,1.2,1.1,10.689301,0.39567,2,
12,C101,24-Jul,rk,0.6,3,11.196598,1.460058,3,
13,C101,26-Jul,rk,1.2,5.5,10.939141,-0.629724,5,
14,C101,28-Jul,rk,0.4,30,13.039141,-4.267031,7,
15,C101,28-Jul,maj,0.7,rock,12.489141,-3.314403,7,
16,C101,01-Aug,maj,,,12.840361,-0.920432,11,
17,C101,02-Aug,maj,,,5.797016,-11.510956,12,
18,C102,22-Jul,maj,1.3,5.2,5.909948,3.42831,1,
19,C102,23-Jul,sw,1.3,7.5,5.794566,3.699995,2,
20,C102,24-Jul,sw,2.1,3.1,5.134745,3.81634,3,
21,C102,24-Jul,sw,1.85,3,5.095353,3.823286,3,
22,C102,26-Jul,sw,,,5.11391,4.87126,5,
23,C102,26-Jul,rk,2.1,2.5,-1.787877,-2.471632,5,
24,C102,28-Jul,rk,1.55,1.8,5.910714,6.009214,7,
25,C102,31-Jul,maj,,,-1.47601,8.370866,10,
26,C102,31-Jul,sw,,,-2.135655,7.715753,10,
27,C102,01-Aug,maj,,,-2.671078,7.836965,11,
28,C102,02-Aug,maj,,,-2.387728,10.303005,12,
29,C103,22-Jul,sw,1.9,6,6.470209,10.339809,1,
30,C103,31-Jul,rk,0.98,4,8.739141,9.280787,10,
31,C103,01-Aug,maj,0.92,13,5.086373,5.357481,11,
32,C103,02-Aug,maj,,,9.270791,9.257575,12,
33,C103,03-Aug,maj,,,8.098547,10.502818,13,
34,C104,22-Jul,rk,1.65,9,6.791022,-10.9396,1,
35,C104,24-Jul,rk,0.6,1.5,6.024978,-10.296813,3,
36,C104,26-Jul,rk,0.98,1.3,6.538811,-7.594992,5,
37,C104,28-Jul,maj,0.41,rock,7.308935,-8.762299,7,
38,C104,31-Jul,rk,0.52,1.5,6.791022,-10.9396,10,
39,C104,31-Jul,rk,,,7.449889,-8.813602,10,
40,C104,01-Aug,sw,0.6,1.5,7.167981,-8.710996,11,
41,C104,02-Aug,rk,,,8.08776,-7.310562,12,
42,C104,03-Aug,rk,,,8.08776,-7.310562,13,
43,C104,03-Aug,maj,,,7.523618,-7.76864,13,
44,C105,22-Jul,rk,0.95,1,8.739141,8.530787,1,
45,C105,24-Jul,maj,0.88,11,14.87277,4.824288,3,
46,C105,26-Jul,sw,,,1.076373,19.263005,5,
47,C105,26-Jul,rk,1.6,3,-1.787877,-2.471632,5,
48,C105,28-Jul,sw,1.08,2.1,6.039141,7.857325,7,
49,C105,01-Aug,sw,0.85,2.2,3.856995,6.599303,11,
50,C105,03-Aug,sw,,,5.297683,8.0957,13,
51,C105,03-Aug,maj,,,2.068716,6.291258,13,
52,C106,22-Jul,maj,1.06,2.5,0.87,-1.506884,1,
53,C106,23-Jul,rk,1.2,4.5,1.478412,-1.761902,2,
54,C106,24-Jul,maj,0.83,1,0.595284,2.221629,3,
55,C106,24-Jul,maj,0.46,rock,0.898026,-0.898026,3,
56,C106,26-Jul,sw,,,1.414214,-1.414214,5,
57,C106,26-Jul,maj,1.45,0.5,0.952628,-0.55,5,
58,C106,27-Jul,maj,0.91,2.5,0.68404,-1.879385,6,
59,C106,28-Jul,rk,,,2.384772,-3.511615,7,
60,C106,28-Jul,maj,,,2.687006,-2.687006,7,
61,C106,31-Jul,maj,0.94,2.2,0.660099,-1.813607,10,
62,C106,31-Jul,maj,,,0.866025,-0.5,10,
63,C106,02-Aug,rk,,,2.419502,-3.314654,12,
64,C106,03-Aug,maj,,,2.198548,-1.8448,13,
65,C107,22-Jul,maj,0.8,2.2,4.295486,-2.48,1,
66,C107,23-Jul,sw,1.2,5.5,3.500682,0.738054,2,
67,C107,24-Jul,sw,1.2,0.5,2.779379,1.583874,3,
68,C107,24-Jul,rk,0.9,6,5.379451,-0.470641,3,
69,C107,26-Jul,sw,,,5.180212,-0.45321,5,
70,C107,26-Jul,maj,1.1,5,5.317962,-0.9377,5,
