SerialNumber,Offspring,Mother,Sire
1,c115e,C115,C100
2,c177c,C177,C100
3,c178b,C178,C101
4,c178c,C178,C101
5,c178d,C178,C101
6,c178e,C178,C101
7,c178h,C178,C101
8,c178i,C178,C101
9,c178j,C178,C101
10,c151d,C151,C102
11,c151i,C151,C102
12,c171a,C171,C102
13,c175b,C175,C102
14,c119e,C119,C110
15,c119j,C119,C110
16,c104a,C104,C112
17,c104b,C104,C112
18,c104c,C104,C112
19,c104d,C104,C112
20,c104e,C104,C112
21,c104f,C104,C112
22,c104g,C104,C112
23,c104h,C104,C112
24,c104i,C104,C112
25,c133a,C133,C112
26,c133c,C133,C112
27,c133d,C133,C112
28,c133e,C133,C112
29,c133f,C133,C112
30,c177d,C177,C112
31,c143a,C143,C117
32,c143b,C143,C117
33,c143c,C143,C117
34,c143d,C143,C117
35,c143e,C143,C117
36,c143f,C143,C117
37,c143g,C143,C117
38,c143h,C143,C117
39,c143i,C143,C117
40,c143j,C143,C117
41,c119a,C119,C121
42,c119b,C119,C121
43,c119c,C119,C121
44,c119f,C119,C121
45,c119g,C119,C121
46,c119i,C119,C121
47,c124a,C124,C121
48,c124b,C124,C121
49,c132a,C132,C121
50,c132b,C132,C121
51,c132c,C132,C121
52,c132d,C132,C121
53,c132e,C132,C121
54,c148a,C148,C121
55,c148b,C148,C121
56,c148c,C148,C121
57,c153b,C153,C121
58,c153c,C153,C121
59,c173c,C173,C121
60,c173e,C173,C121
61,c159a,C159,C122
62,c159b,C159,C122
63,c159c,C159,C122
64,c159g,C159,C122
65,c159h,C159,C122
66,c173b,C173,C122
67,c176h,C176,C122
68,c176i,C176,C122
69,c176j,C176,C122
70,c177b,C177,C122
71,c177e,C177,C122
72,c177f,C177,C122
73,c173a,C173,C125
74,c115a,C115,C137
75,c115c,C115,C137
76,c115d,C115,C137
77,c115f,C115,C137
78,c115g,C115,C137
79,c115h,C115,C137
80,c115i,C115,C137
81,c115j,C115,C137
82,c151a,C151,C137
83,c151f,C151,C137
84,c151g,C151,C137
85,c151h,C151,C137
86,c154a,C154,C137
87,c154b,C154,C137
88,c154c,C154,C137
89,c154d,C154,C137
90,c154e,C154,C137
91,c172a,C172,C137
92,c175c,C175,C137
93,c175d,C175,C137
94,c175e,C175,C137
95,c175f,C175,C137
96,c175g,C175,C137
97,c175h,C175,C137
98,c175i,C175,C137
99,c175j,C175,C137
100,c175k,C175,C137
101,c175l,C175,C137
102,c175n,C175,C137
103,c151b,C151,C142
104,c151c,C151,C142
105,c173d,C173,C142
106,c176k,C176,C142
107,c139a,C139,C144
108,c174a,C174,C144
109,c174b,C174,C144
110,c174c,C174,C144
111,c174d,C174,C144
112,c174e,C174,C144
113,c174f,C174,C144
114,c174g,C174,C144
115,c174h,C174,C144
116,c179a,C179,C144
117,c179d,C179,C144
118,c179f,C179,C144
119,c179g,C179,C144
120,c179h,C179,C144
121,c179i,C179,C144
122,c178f,C178,C152
123,c178a,C178,C155
124,c178g,C178,C155
125,c106b,C106,C156
126,c106c,C106,C156
127,c106d,C106,C156
128,c106e,C106,C156
129,c106f,C106,C156
130,c106g,C106,C156
131,c107a,C107,C156
132,c107b,C107,C156
133,c107c,C107,C156
134,c107d,C107,C156
135,c107e,C107,C156
136,c107f,C107,C156
137,c107g,C107,C156
138,c116a,C116,C156
139,c116b,C116,C156
140,c116c,C116,C156
141,c116d,C116,C156
142,c116e,C116,C156
143,c116f,C116,C156
144,c116h,C116,C156
145,c151e,C151,C156
146,c167a,C167,C156
147,c167b,C167,C156
148,c167c,C167,C156
149,c167d,C167,C156
150,c167e,C167,C156
151,c167f,C167,C156
152,c116g,C116,C158
153,c171b,C171,C158
154,c171c,C171,C158
155,c171e,C171,C158
156,c171f,C171,C158
157,c171g,C171,C158
158,c176a,C176,C163
159,c159i,C159,C164
160,c133b,C133,C165
161,c179c,C179,C165
162,c179e,C179,C165
163,c145a,C145,C169
164,c159d,C159,C169
165,c159f,C159,C169
166,c173f,C173,C169
167,c176b,C176,C169
168,c176c,C176,C169
169,c176d,C176,C169
170,c176e,C176,C169
171,c176f,C176,C169
172,c176g,C176,C169
